Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
2013-01-31,14.918124198913574,23.888011932373047,11.06774616241455,31.5438175201416,12.411975860595703,25.99785614013672,11.82667350769043,34.567840576171875,21.552595138549805,119.1898422241211
2013-02-28,14.715502738952637,23.99302101135254,11.201478004455566,32.2442741394043,12.509077072143555,26.858108520507812,12.101487159729004,35.00285339355469,21.89653778076172,120.71062469482422
2013-03-31,15.04100513458252,24.603078842163086,11.635400772094727,33.00864791870117,12.831523895263672,28.181272506713867,12.751198768615723,37.17703628540039,22.854703903198242,125.29409790039062
2013-04-30,15.1830415725708,24.28046226501465,11.948488235473633,32.763614654541016,13.056190490722656,29.01034164428711,13.51106071472168,38.293548583984375,23.54896354675293,127.70127868652344
2013-05-31,15.470966339111328,24.972240447998047,12.676895141601562,34.40773391723633,13.420744895935059,28.379663467407227,12.288118362426758,38.92463684082031,24.200101852416992,130.71627807617188
2013-06-30,14.835086822509766,24.406185150146484,12.477799415588379,33.87644958496094,13.03265380859375,28.293874740600586,12.398036003112793,38.69449996948242,24.39876937866211,128.971923828125
2013-07-31,15.659042358398438,25.690387725830078,13.144994735717773,35.878517150878906,13.518340110778809,29.52063751220703,12.935073852539062,41.46591567993164,25.68360710144043,135.63685607910156
2013-08-31,15.639702796936035,25.42544174194336,12.471384048461914,34.98870086669922,13.377744674682617,28.179758071899414,12.289313316345215,40.00299835205078,24.952505111694336,131.56878662109375
2013-09-30,16.33230209350586,25.96299934387207,12.823272705078125,37.04146957397461,13.716485023498535,28.566123962402344,12.430312156677246,41.28605651855469,26.3056583404541,135.73248291015625
2013-10-31,17.016538619995117,27.05274772644043,13.248353958129883,38.80535888671875,14.40573501586914,30.396371841430664,12.89931869506836,43.06513214111328,27.511829376220703,142.01771545410156
2013-11-30,17.238134384155273,27.068397521972656,13.834451675415039,40.226036071777344,14.850966453552246,30.870067596435547,12.6498441696167,45.097198486328125,28.46200180053711,146.22682189941406
2013-12-31,18.08216094970703,27.845726013183594,14.14539623260498,41.92300796508789,15.375901222229004,31.08304786682129,12.765088081359863,45.4304313659668,29.11185073852539,150.0180206298828
2014-01-31,17.229307174682617,26.231794357299805,13.627723693847656,40.13409423828125,14.980100631713867,29.477540969848633,13.144978523254395,45.85654830932617,27.365047454833984,144.73007202148438
2014-02-28,18.418615341186523,27.57516098022461,14.041866302490234,41.76256561279297,15.638334274291992,30.627439498901367,13.598844528198242,48.70822525024414,29.116199493408203,151.31764221191406
2014-03-31,18.57073402404785,28.15656089782715,14.509572982788086,42.162052154541016,15.705613136291504,31.299087524414062,14.054533958435059,48.0955696105957,28.281421661376953,152.57286071777344
2014-04-30,18.723926544189453,29.636144638061523,14.262776374816895,42.726043701171875,15.74881649017334,32.156795501708984,14.647760391235352,47.791316986083984,27.896881103515625,153.63348388671875
2014-05-31,19.27775001525879,30.13249969482422,14.47710132598877,43.54783630371094,16.34075927734375,32.73828887939453,14.488442420959473,49.16455078125,28.7009220123291,157.1988067626953
2014-06-30,19.588991165161133,31.79380989074707,14.827821731567383,43.75465393066406,16.64614486694336,32.6553840637207,15.132002830505371,50.20758056640625,29.257328033447266,160.444091796875
2014-07-31,19.198320388793945,30.69167709350586,14.612648963928223,41.949737548828125,16.928272247314453,31.572235107421875,14.102917671203613,50.27360916137695,28.88471031188965,158.28814697265625
2014-08-31,19.940202713012695,31.36185073852539,15.232102394104004,43.72226333618164,17.48387336730957,33.02861404418945,14.796952247619629,52.70846939086914,30.16916275024414,164.5347137451172
2014-09-30,19.660018920898438,28.930864334106445,15.170654296875,43.22103500366211,17.393474578857422,33.223079681396484,14.519807815551758,52.93776321411133,29.33321189880371,162.26475524902344
2014-10-31,19.1882381439209,27.909257888793945,15.60934066772461,44.89621353149414,17.67246437072754,34.40147399902344,15.68580436706543,55.72090530395508,29.953393936157227,166.0862274169922
2014-11-30,19.489545822143555,25.482925415039062,15.975997924804688,46.27863693237305,18.522520065307617,36.30897521972656,15.868640899658203,57.659175872802734,31.585216522216797,170.6489715576172
2014-12-31,19.381006240844727,25.429203033447266,16.274784088134766,46.268638610839844,18.119338989257812,35.969242095947266,16.434701919555664,56.849979400634766,31.866310119628906,170.21609497070312
2015-01-31,19.025938034057617,24.269527435302734,15.14285945892334,44.62495422363281,17.483951568603516,35.62059783935547,16.817550659179688,57.58992004394531,30.91231346130371,165.17271423339844
2015-02-28,20.54195213317871,25.384218215942383,16.02471160888672,47.01280975341797,18.88178825378418,37.09674835205078,15.742093086242676,60.05913162231445,33.55349349975586,174.45620727539062
2015-03-31,19.53439712524414,25.09098243713379,15.925997734069824,45.815834045410156,18.23309326171875,36.37610626220703,15.585417747497559,60.44388961791992,33.391422271728516,171.71621704101562
2015-04-30,20.191152572631836,26.74042510986328,15.93920612335205,45.70081329345703,18.734683990478516,36.0999641418457,15.511749267578125,59.78526306152344,33.37371826171875,173.4049072265625
2015-05-31,20.267242431640625,25.352951049804688,16.24966049194336,45.84868240356445,19.082271575927734,36.413429260253906,15.609965324401855,62.478145599365234,33.81242370605469,175.63414001464844
2015-06-30,19.466772079467773,24.469783782958984,16.17475128173828,44.63153839111328,18.297447204589844,35.74545669555664,14.675863265991211,62.23325729370117,33.99989318847656,172.06668090820312
2015-07-31,18.485187530517578,22.587997436523438,16.725414276123047,44.763641357421875,18.818973541259766,37.780548095703125,15.571425437927246,64.07373809814453,35.66254425048828,175.95355224609375
2015-08-31,17.443265914916992,21.627561569213867,15.544482231140137,42.344642639160156,17.780345916748047,35.52768325805664,15.029844284057617,58.97056579589844,33.333045959472656,165.2291717529297
2015-09-30,16.148725509643555,20.071815490722656,15.107151985168457,41.41136932373047,17.536422729492188,35.66618728637695,15.468327522277832,55.607566833496094,33.13739776611328,161.01316833496094
